x,y,z,qx,qy,qz,qw,speed
89669.8,43133.2,0,0,0,-0.864178,0.503187,8.33333
89668.2,43130.5,0,0,0,-0.856705,0.515806,8.33333
89666.9,43127.9,0,0,0,-0.876086,0.482156,8.33333
89665.4,43125.6,0,0,0,-0.868327,0.495991,8.33333
89663.7,43122.7,0,0,0,-0.965771,0.259397,8.33333
89660.8,43121,0,0,0,-0.958761,0.284215,8.33333
89657.8,43119,0,0,0,-0.970512,0.241052,8.33333
89654,43117,0,0,0,0.995388,0.0959339,8.33333
89650.6,43117.6,0,0,0,0.98688,0.161457,8.33333
89546.4,43189.4,-1.15593e-05,0,0,-0.305381,0.95223,8.33333
89643.1,43120.3,-2.07901e-07,0,0,0.976614,0.215001,8.33333
89642.1,43120.8,0,0,0,0.980115,0.198432,8.33333
89638.7,43122.2,0,0,0,0.9622,0.272343,8.33333
89636.7,43123.4,0,0,0,0.965606,0.260011,8.33333
89651.6,43108.4,4.48227e-07,0,0,0.927884,0.37287,8.33333
89632.7,43126.5,0,0,0,0.880755,0.473572,8.33333
89646.4,43132.4,-1.19976e-06,0,0,0.999832,0.0183244,8.33333
89628.3,43133.1,0,0,0,0.887649,0.460521,8.33333
89626.6,43135.5,0,0,0,0.886576,0.462583,8.33333
89624.9,43138,0,0,0,0.886618,0.462503,8.33333
89623.2,43140.4,0,0,0,0.886023,0.463642,8.33333
89621.5,43142.9,0,0,0,0.88584,0.46399,8.33333
89619.8,43145.3,0,0,0,0.884065,0.467363,8.33333
89618.1,43147.8,0,0,0,0.881734,0.471747,8.33333
89616.4,43150.3,0,0,0,0.874733,0.484605,8.33333
89614.9,43152.8,0,0,0,0.852035,0.523484,8.33333
89613.5,43155.5,0,0,0,0.798825,0.601564,8.33333
89618.4,43169.4,-1.21409e-06,0,0,-0.888529,0.458821,8.33333
89612.7,43161.3,0,0,0,0.568884,0.822418,8.33333
89613.8,43164.1,0,0,0,0.332024,0.943271,8.33333
89616,43165.9,0,0,0,0.0957612,0.995404,8.33333
89619,43166.5,0,0,0,-0.171466,0.98519,8.33333
89621.7,43165.5,0,0,0,-0.372298,0.928113,8.33333
89623.9,43163.4,0,0,0,-0.433472,0.901167,8.33333
89625.7,43161.1,0,0,0,-0.50772,0.861522,8.33333
89627.2,43158.5,0,0,0,-0.535709,0.844403,8.33333
89628.5,43155.8,0,0,0,-0.557544,0.830147,8.33333
89629.6,43153,0,0,0,-0.569087,0.822278,8.33333
89630.6,43150.2,0,0,0,-0.477121,0.878837,8.33333
89632.3,43147.8,0,0,0,-0.5511,0.834439,8.33333
89633.2,43145.5,0,0,0,-0.518683,0.854967,8.33333
89634.5,43143.1,0,0,0,-0.49334,0.869836,8.33333
89636.1,43140.3,0,0,0,-0.352614,0.935769,8.33333
89638.4,43138.3,0,0,0,-0.23237,0.972628,8.33333
89640.7,43137.2,0,0,0,-0.0544057,0.998519,8.33333
89642.8,43136.9,0,0,0,0.160678,0.987007,8.33333
89644.9,43137.6,0,0,0,0.343524,0.939144,8.33333
89646.7,43139.2,0,0,0,0.554016,0.832506,8.33333
89647.6,43141.3,0,0,0,0.699456,0.714676,8.33333
89647.7,43145.1,0,0,0,0.855279,0.518168,8.33333
89646.3,43147.8,0,0,0,0.855458,0.517873,8.33333
89644.9,43150.5,0,0,0,0.882001,0.471247,8.33333
89643.2,43153.1,0,0,0,0.909974,0.414665,8.33333
89641.4,43155.1,0,0,0,0.931912,0.362684,8.33333
89639.5,43156.9,0,0,0,0.899436,0.437053,8.33333
89637.6,43159.2,0,0,0,0.904818,0.425798,8.33333
89635.7,43161.5,0,0,0,0.909045,0.416698,8.33333
89633.8,43163.8,0,0,0,0.911257,0.411839,8.33333
89631.8,43166,0,0,0,0.906128,0.423003,8.33333
89629.9,43168.3,0,0,0,0.896159,0.443734,8.33333
89628.1,43170.7,0,0,0,0.910751,0.412956,8.33333
89626.2,43172.9,0,0,0,0.926643,0.375943,8.33333
89623.9,43175,0,0,0,0.941253,0.337701,8.33333
89621.6,43176.9,0,0,0,0.845594,0.533826,8.33333
89620.2,43179.9,0,0,0,0.678018,0.735046,8.33333
89620.5,43182.8,0,0,0,0.563098,0.82639,8.33333
89621.5,43185.5,0,0,0,0.328683,0.94444,8.33333
89623.9,43187.4,0,0,0,0.129383,0.991595,8.33333
89626.7,43188.2,0,0,0,-0.0738567,0.997269,8.33333
89629.7,43187.7,0,0,0,-0.257591,0.966254,8.33333
89632.1,43186.3,0,0,0,-0.307613,0.951512,8.33333
89634.6,43184.5,0,0,0,-0.285239,0.958457,8.33333
89637.2,43182.8,0,0,0,-0.163097,0.98661,8.33333
89640,43181.9,0,0,0,-0.0102367,0.999948,8.33333
89642.9,43181.8,0,0,0,0.0930897,0.995658,8.33333
89645.8,43182.4,0,0,0,0.178075,0.984017,8.33333
89648.6,43183.4,0,0,0,0.241111,0.970498,8.33333
89651.3,43184.8,0,0,0,0.233975,0.972243,8.33333
89654,43186.2,0,0,0,0.197508,0.980301,8.33333
89656.7,43187.3,0,0,0,0.056364,0.99841,8.33333
89659.6,43187.7,0,0,0,-0.145469,0.989363,8.33333
89662.5,43186.8,0,0,0,-0.42261,0.906311,8.33333
89663.8,43185.2,0,0,0,-0.61422,0.789135,8.33333
89664.6,43182,0,0,0,-0.72301,0.690837,8.33333
89664.5,43179.3,0,0,0,-0.883558,0.468321,8.33333
89663,43177.1,0,0,0,-0.980175,0.198135,8.33333
89660.2,43175.9,0,0,0,-0.997178,0.0750719,8.33333
89657.2,43175.4,0,0,0,-0.997254,0.0740582,8.33333
89654.3,43175,0,0,0,-0.999403,0.0345591,8.33333
89651.4,43174.8,0,0,0,-0.98346,0.181125,8.33333
89648.4,43173.7,0,0,0,-0.947133,0.320841,8.33333
89646.1,43171.9,0,0,0,-0.835952,0.548803,8.33333
89645.2,43169.7,0,0,0,-0.642321,0.766436,8.33333
89645.7,43166.6,0,0,0,-0.476306,0.87928,8.33333
89647.2,43164.3,0,0,0,-0.402601,0.915376,8.33333
89649,43162.3,0,0,0,-0.212259,0.977213,8.33333
89651.8,43161.1,0,0,0,-0.195738,0.980656,8.33333
89654.5,43159.9,0,0,0,-0.0527849,0.998606,8.33333
89657.5,43159.6,0,0,0,0.141186,0.989983,8.33333
89660.4,43160.5,0,0,0,0.351021,0.936368,8.33333
89662.4,43162.3,0,0,0,0.53549,0.844542,8.33333
89663.7,43165,0,0,0,0.511028,0.859564,8.33333
89665.2,43167.8,0,0,0,0.424725,0.905322,8.33333
89667.3,43170.2,0,0,0,0.112211,0.993684,8.33333
89670.3,43170.9,0,0,0,-0.230744,0.973015,8.33333
89673.1,43169.5,0,0,0,-0.323006,0.946397,8.33333
89675.5,43167.6,0,0,0,-0.424476,0.905439,8.33333
89677.4,43165.3,0,0,0,-0.509104,0.860705,8.33333
89678.9,43162.7,0,0,0,-0.601335,0.798997,8.33333
89679.7,43159.8,0,0,0,-0.706174,0.708039,8.33333
89679.7,43156.9,0,0,0,-0.808032,0.589138,8.33333
89678.8,43154.1,0,0,0,-0.885312,0.464997,8.33333
89677.1,43151.6,0,0,0,-0.940498,0.339798,8.33333
89674.8,43149.7,0,0,0,-0.97392,0.226892,8.33333
89672.1,43148.4,0,0,0,-0.989185,0.146673,8.33333
89669.3,43147.5,0,0,0,-0.997181,0.07503,8.33333
89666.4,43147.1,0,0,0,-0.996143,0.0877477,8.33333
89663.3,43146.5,0,0,0,-0.996104,0.0881856,8.33333
89660.3,43146,0,0,0,-0.919541,0.392995,8.33333
89658.2,43143.9,0,0,0,-0.825807,0.563953,8.33333
89657,43140.8,0,0,0,-0.795063,0.606527,8.33333
89656.2,43137.9,0,0,0,-0.721723,0.692182,8.33333
89656.1,43134.7,0,0,0,-0.667034,0.745027,8.33333
89656.4,43132.1,0,0,0,-0.717595,0.69646,8.33333
89656.3,43129.3,0,0,0,-0.771432,0.636312,8.33333
89655.6,43125.4,0,0,0,-0.883,0.469374,8.33333
89654.2,43123.3,0,0,0,-0.954609,0.29786,8.33333
89651.8,43121.7,0,0,0,-0.998523,0.0543257,8.33333
89649.7,43127.1,-2.85445e-07,0,0,-0.896956,0.44212,8.33333
89628.5,43128.6,-1.90735e-07,0,0,0.417018,0.908898,8.33333
89676,43183.7,-1.38855e-06,0,0,-0.748723,0.662883,8.33333
